,Locality,Restaurant_Type,Ratings_out_of_5,Number of votes,Cuisines,Cost,payment_modes,5_star_review_percentage
9756,31,69,3.6,34,1954,750.0,6,88
9757,45,80,3.6,10,1361,0.0,3,70
9758,94,34,0.0,0,200,0.0,5,0
9759,41,80,0.0,0,2177,0.0,5,0
9760,58,34,0.0,0,1581,0.0,5,0
9761,0,76,0.0,0,1442,150.0,5,0
9762,90,80,0.0,0,2549,0.0,5,0
9763,93,69,3.2,9,479,300.0,3,89
9764,96,34,0.0,0,4,0.0,3,0
9765,0,69,0.0,0,264,300.0,3,0
9766,94,63,0.0,0,2181,100.0,5,0
9767,93,69,3.1,4,2351,150.0,5,100
9768,18,69,0.0,0,1517,300.0,6,0
9769,31,69,0.0,0,1554,300.0,3,0
9770,42,69,0.0,0,2463,50.0,3,0
9771,39,69,0.0,0,1334,400.0,3,0
9772,6,34,3.1,4,1331,0.0,3,100
9773,91,69,0.0,0,1517,300.0,6,0
9774,84,69,0.0,0,579,300.0,3,0
9775,18,69,0.0,0,479,250.0,6,0
9776,34,34,0.0,0,1439,0.0,5,0
9777,32,69,0.0,0,2351,250.0,6,0
9778,65,69,0.0,0,2463,150.0,3,0
9779,88,69,0.0,0,2477,150.0,6,0
9780,68,14,0.0,0,388,300.0,3,0
9781,93,69,0.0,0,874,450.0,3,0
9782,13,47,0.0,0,865,350.0,6,0
9783,95,69,0.0,0,1517,200.0,3,0
9784,5,55,0.0,0,2463,200.0,3,0
9785,7,69,0.0,0,2449,250.0,3,0
9786,22,69,0.0,0,883,300.0,6,0
9787,53,69,0.0,0,2504,200.0,3,0
9788,92,34,0.0,0,1677,0.0,5,0
9789,31,80,0.0,0,1517,0.0,5,0
9790,68,69,0.0,0,1048,200.0,3,0
9791,50,80,0.0,0,1517,0.0,6,0
9792,7,69,0.0,0,1517,350.0,6,0
9793,13,34,0.0,0,230,0.0,5,0
9794,5,34,0.0,0,940,0.0,5,0
9795,50,34,0.0,0,1554,0.0,5,0
